Symbol,Total_Trades,Win_Rate,Big_Win_Rate,Avg_Win_Pct,Avg_Loss_Pct,Profit_Factor,Expectancy,Max_Drawdown,Stops_Hit,Targets_Hit,Signal_Exits
COSMO.IS,12,91.67,33.33,6.48,-2.47,28.93,5.74,-2.47,8,4,0
VANGD.IS,12,66.67,33.33,6.29,-1.46,8.59,3.7,-3.55,9,3,0
DZGYO.IS,6,66.67,33.33,6.62,-3.12,4.25,3.38,-4.61,4,2,0
ZEDUR.IS,9,55.56,33.33,7.41,-3.41,2.71,2.6,-10.2,6,3,0
CMENT.IS,27,59.26,33.33,6.97,-3.98,2.55,2.51,-10.7,18,9,0
SISE.IS,9,55.56,33.33,6.2,-3.37,2.3,1.95,-7.25,6,3,0
BIMAS.IS,13,61.54,30.77,6.28,-2.48,4.06,2.91,-8.11,9,4,0
MARKA.IS,10,80.0,30.0,5.51,-3.76,5.86,3.66,-5.3,7,3,0
GSDHO.IS,7,71.43,28.57,5.91,-1.01,14.63,3.93,-2.02,5,2,0
YAYLA.IS,7,57.14,28.57,6.59,-1.72,5.12,3.03,-3.71,5,2,0
ISBIR.IS,19,47.37,26.32,7.2,-3.5,1.85,1.57,-19.81,14,5,0
BFREN.IS,8,62.5,25.0,5.94,-0.65,15.26,3.47,-1.94,7,1,0
MARTI.IS,8,75.0,25.0,4.21,-2.47,5.11,2.54,-3.53,6,2,0
DYOBY.IS,8,62.5,25.0,6.29,-2.33,4.49,3.06,-5.3,6,2,0
BAKAB.IS,8,50.0,25.0,6.45,-1.82,3.55,2.32,-5.58,6,2,0
SOKM.IS,8,50.0,25.0,6.85,-2.05,3.34,2.4,-4.64,6,2,0
ATSYH.IS,16,56.25,25.0,6.52,-2.65,3.17,2.51,-6.6,12,4,0
QNBTR.IS,20,55.0,25.0,6.01,-3.93,1.87,1.54,-8.3,15,5,0
DIRIT.IS,25,60.0,24.0,6.34,-3.26,2.92,2.5,-10.0,20,5,0
PGSUS.IS,13,92.31,23.08,3.96,-4.02,11.83,3.35,-4.02,10,3,0
ISCTR.IS,13,53.85,23.08,5.13,-0.99,6.06,2.31,-2.21,10,3,0
EKIZ.IS,27,55.56,22.22,5.7,-3.46,2.06,1.63,-15.36,21,6,0
KZBGY.IS,9,44.44,22.22,6.55,-2.81,1.86,1.35,-3.66,7,2,0
AGHOL.IS,9,44.44,22.22,6.4,-2.87,1.79,1.25,-9.02,7,2,0
KCHOL.IS,14,64.29,21.43,4.88,-2.03,4.33,2.41,-4.66,11,3,0
AVOD.IS,5,100.0,20.0,4.1,0.0,99.99,4.1,0.0,4,1,0
KONYA.IS,5,80.0,20.0,3.68,-0.84,17.53,2.78,-0.84,4,1,0
TUKAS.IS,5,40.0,20.0,9.73,-0.65,10.03,3.5,-1.27,4,1,0
SKBNK.IS,10,50.0,20.0,5.94,-1.21,4.92,2.37,-2.72,8,2,0
ODAS.IS,5,60.0,20.0,5.02,-2.76,2.73,1.91,-2.96,4,1,0
OYLUM.IS,5,60.0,20.0,4.68,-2.64,2.66,1.75,-3.75,4,1,0
AKSA.IS,5,40.0,20.0,8.64,-2.97,1.94,1.68,-4.55,4,1,0
ULKER.IS,5,60.0,20.0,5.85,-4.75,1.85,1.61,-9.27,4,1,0
YKSLN.IS,5,40.0,20.0,5.55,-2.25,1.64,0.87,-3.46,4,1,0
CASA.IS,15,46.67,20.0,6.09,-3.41,1.56,1.02,-17.21,12,3,0
KERVN.IS,15,53.33,20.0,5.15,-4.34,1.36,0.72,-17.57,12,3,0
ANHYT.IS,5,40.0,20.0,5.37,-3.24,1.1,0.2,-6.31,4,1,0
ARSAN.IS,5,40.0,20.0,5.12,-3.3,1.03,0.07,-3.78,4,1,0
BASCM.IS,26,46.15,19.23,5.81,-3.37,1.48,0.87,-23.82,21,5,0
SAFKR.IS,11,81.82,18.18,4.74,-2.98,7.14,3.33,-5.9,9,2,0
NIBAS.IS,6,100.0,16.67,4.86,0.0,99.99,4.86,0.0,5,1,0
TERA.IS,6,83.33,16.67,4.53,-1.39,16.31,3.54,-1.39,5,1,0
AKENR.IS,12,75.0,16.67,4.1,-1.14,10.78,2.79,-2.56,11,1,0
YESIL.IS,6,83.33,16.67,3.88,-2.04,9.51,2.89,0.0,5,1,0
SANKO.IS,6,66.67,16.67,5.26,-1.91,5.5,2.87,-2.37,5,1,0
MAVI.IS,6,50.0,16.67,5.18,-0.98,5.31,2.1,-1.44,5,1,0
DERHL.IS,6,66.67,16.67,5.62,-2.58,4.36,2.89,-3.36,5,1,0
GLYHO.IS,12,58.33,16.67,4.88,-1.59,4.3,2.18,-6.35,10,2,0
ASUZU.IS,6,83.33,16.67,3.77,-4.5,4.19,2.39,-4.5,5,1,0
BLCYT.IS,6,66.67,16.67,4.0,-2.9,2.76,1.7,-1.62,5,1,0
PEKGY.IS,6,50.0,16.67,4.72,-1.98,2.38,1.37,-3.53,5,1,0
PINSU.IS,6,50.0,16.67,4.22,-1.85,2.28,1.19,-2.5,5,1,0
SELEC.IS,6,50.0,16.67,4.48,-2.14,2.09,1.17,-4.29,5,1,0
KRDMA.IS,6,50.0,16.67,4.97,-2.65,1.88,1.16,-4.33,5,1,0
MMCAS.IS,24,58.33,16.67,5.1,-4.27,1.67,1.2,-22.01,20,4,0
ICBCT.IS,6,50.0,16.67,4.1,-2.49,1.65,0.8,-4.1,5,1,0
ANGEN.IS,6,50.0,16.67,5.34,-3.42,1.56,0.96,-8.05,6,0,0
IHLAS.IS,6,50.0,16.67,4.72,-3.15,1.5,0.78,-7.09,5,1,0
TDGYO.IS,13,53.85,15.38,6.29,-1.75,4.18,2.58,-3.51,11,2,0
AKSEN.IS,7,100.0,14.29,3.37,0.0,99.99,3.37,0.0,6,1,0
BMSCH.IS,7,100.0,14.29,3.33,0.0,99.99,3.33,0.0,6,1,0
PNLSN.IS,7,71.43,14.29,4.95,-2.01,6.16,2.96,-3.98,6,1,0
KNFRT.IS,7,71.43,14.29,3.93,-1.69,5.83,2.33,-3.37,6,1,0
HATEK.IS,7,57.14,14.29,5.81,-1.74,4.46,2.57,-3.47,7,0,0
DOCO.IS,7,42.86,14.29,4.25,-0.98,3.25,1.26,-2.0,6,1,0
GARAN.IS,14,71.43,14.29,3.81,-3.68,2.59,1.67,-7.7,12,2,0
ARCLK.IS,7,57.14,14.29,3.56,-2.2,2.15,1.09,-3.03,6,1,0
UFUK.IS,14,57.14,14.29,5.1,-3.33,2.04,1.49,-9.83,12,2,0
KRTEK.IS,7,42.86,14.29,6.05,-2.63,1.73,1.09,-5.48,7,0,0
BIZIM.IS,8,50.0,12.5,4.02,-0.43,9.34,1.8,-1.72,7,1,0
CRDFA.IS,8,75.0,12.5,3.77,-1.46,7.76,2.46,-1.65,7,1,0
ULAS.IS,8,75.0,12.5,5.08,-2.04,7.45,3.3,-2.76,7,1,0
MAGEN.IS,8,87.5,12.5,2.97,-3.3,6.31,2.19,-3.3,7,1,0
DESPC.IS,8,50.0,12.5,6.47,-1.05,6.18,2.71,-2.44,7,1,0
PRKAB.IS,8,75.0,12.5,4.13,-3.05,4.07,2.34,-5.3,7,1,0
NATEN.IS,8,75.0,12.5,4.65,-4.31,3.24,2.41,-6.56,7,1,0
GENIL.IS,8,62.5,12.5,3.82,-2.09,3.04,1.6,-3.28,7,1,0
DITAS.IS,8,50.0,12.5,5.5,-2.01,2.73,1.74,-2.68,7,1,0
LIDFA.IS,8,50.0,12.5,4.75,-1.95,2.43,1.4,-7.47,7,1,0
SASA.IS,8,50.0,12.5,4.88,-2.4,2.04,1.24,-5.35,7,1,0
KRDMB.IS,8,50.0,12.5,4.86,-3.2,1.52,0.83,-12.21,7,1,0
BRKO.IS,24,45.83,12.5,4.41,-3.38,1.11,0.19,-25.85,21,3,0
TUPRS.IS,17,47.06,11.76,3.43,-2.62,1.17,0.23,-15.93,15,2,0
DOHOL.IS,9,77.78,11.11,3.13,-1.19,9.24,2.17,-2.36,8,1,0
CLEBI.IS,9,66.67,11.11,5.28,-2.26,4.67,2.76,-5.18,8,1,0
DMSAS.IS,9,66.67,11.11,2.72,-1.56,3.5,1.29,-2.52,8,1,0
JANTS.IS,9,44.44,11.11,5.67,-1.61,2.82,1.63,-4.48,8,1,0
TUREX.IS,9,55.56,11.11,3.37,-1.92,2.2,1.02,-3.54,8,1,0
OTKAR.IS,9,44.44,11.11,4.88,-1.96,1.99,1.08,-5.34,8,1,0
